,DENOMINAZIONE,ID,INDIRIZZO,CAP,COMUNE,PROVINCIA,COMUNITA DI VALLE,NAZIONE,SITO INTERNET,LATITUDINE,LONGITUDINE,ALTITUDINE,CATEGORIA 1,CATEGORIA 2,CODICE ACCESSIBILITA' 1,CODICE ACCESSIBILITA' 2,CODICE ACCESSIBILITA' 3,CODICE ACCESSIBILITA' 4,CODICE ACCESSIBILITA' 5,CODICE ACCESSIBILITA' 6,CODICE ACCESSIBILITA' 7,CODICE ACCESSIBILITA' 8,CODICE ACCESSIBILITA' 9,CODICE ACCESSIBILITA' 10,CODICE ACCESSIBILITA' 11,CODICE ACCESSIBILITA' 12,CODICE ACCESSIBILITA' 13,CODICE ACCESSIBILITA' 14,DATA ULTIMA MODIFICA,DATA RILEVAZIONE
49,CINFORMI,871,"CORSO ROSMINI, 92",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.cinformi.it,45.8909473,11.0398997,200,Uffici Pubblici,,AE-3cf,AE-3abde,AI-6ad,AI-6fg,AI-6r,AI-6bc,AE-2d,AE-2b,AI-6i,AE-2a,AI-6l,AI-6e,AI-6p,AI-6d,2016-04-04 11:39:56.407,2013-06-03
50,COMUNE DI ROVERETO,875,PIAZZA PODESTA',38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.comune.rovereto.tn.it,45.88633903,11.0456686,200,Uffici Pubblici,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AE-2a,AE-1abc,,,,,,,,2011-06-09 13:57:44,2010-10-20
51,COMUNITA' DELLA VALLAGARINA,923,"VIA TOMMASEO, 5",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.comunitadellavallagarina.tn.it,45.8921371,11.0390179,200,Uffici Pubblici,,AI-6d,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6fg,AI-6ad,AI-6p,AI-6r,AE-2a,AI-6bc,AE-1abc,,,2013-03-15 15:03:31.804,2012-07-10
52,CORPO POLIZIA LOCALE ROVERETO E VALLI DI LENO,870,"VIA MONS. PARTELI, 27",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8966673,11.0366787,200,Carabinieri - Guardia di Finanza - Polizia - Polizia Municipale - Vigili del Fuoco,,AI-6fg,AI-5fa,AI-5fb,AI-6bc,AI-5f,AI-6i,AI-6l,AI-6e,AI-6o,AI-6p,AI-6d,AI-6ad,AE-3cf,AE-3abde,2016-04-14 10:58:43.267,2012-07-13
53,CREDITO VALTELLINESE,858,"CORSO ROSMINI, 36",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.creval.it,45.8909473,11.0398997,200,Banca,Bancomat,AE-3cf,AE-3abde,AE-2b,AE-2a,AE-4h,AE-1abc,AE-2c,,,,,,,,2016-03-18 12:32:09.687,2012-07-26
54,DIPARTIMENTO DI PSICOLOGIA E SCIENZE COGNITIVE - PALAZZO ISTRUZIONE,926,"CORSO BETTINI, 84",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.unitn.it/cogsci,45.8949733,11.0435503,200,Scuole e universita,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6l,AI-6i,AI-6fg,AI-6e,AI-6r,AI-6bc,AE-2d,AE-1abc,2013-05-03 15:43:37.214,2013-02-13
55,DIPARTIMENTO DI SCIENZE DELLA COGNIZIONE E DELLA FORMAZIONE - PALAZZO FEDRIGOTTI,941,"CORSO BETTINI, 31",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.unitn.it/discof,45.8949733,11.0435503,200,Scuole e universita,,AI-6d,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,AI-6fg,AE-1abc,AI-6r,AI-5b,AE-2b,AE-2d,AI-6i,AE-2a,2013-05-03 17:05:22.263,2013-02-14
56,DROGHERIA SAS,837,VIA MERCERIE 16/20,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.drogheriamicheli.it,45.8890926,11.0439881,200,Erboristerie,,AE-3cf,AE-3abde,AE-2c,,,,,,,,,,,,2016-04-11 16:14:02.805,2012-08-08
57,ERBORISTERIA FILODERBA SAS,869,"CORSO ROSMINI, 57",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.890966,11.039211,200,Erboristerie,,AE-3cf,AE-3abde,AE-2d,,,,,,,,,,,,2016-04-06 09:40:38.424,2013-02-21
58,FARMACIA BARBACOVI,866,"VIA BENACENSE, 9/B",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.883061,11.039905,200,Farmacie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,2013-02-26 12:27:04.804,2013-02-25
59,FARMACIA COBELLI,868,"VIA MAZZINI, 10",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.89009,11.043414,200,Farmacie,,AE-3cf,AE-3abde,AE-2d,,,,,,,,,,,,2013-02-27 10:11:21.316,2013-02-25
60,FARMACIA COMUNALE 1,825,"VIA PAOLI, 19",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.amr-rovereto.it,45.8918659,11.040192,200,Farmacie,,AE-3cf,AE-3abde,AE-2b,AE-2a,AE-1abc,,,,,,,,,,2016-04-06 10:20:14.729,2013-02-21
61,FARMACIA COMUNALE 2,865,"VIA BENACENSE, 43",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.amr-rovereto.it,45.878454,11.033562,200,Farmacie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,2016-04-06 10:10:49.908,2013-02-21
62,FARMACIA ERBORISTERIA SOAVE,842,"PIAZZA DELLE ERBE,17",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.888528,11.044339,200,Erboristerie,Farmacie,AE-3cf,AE-3abde,AE-2b,AE-2d,AE-2a,,,,,,,,,,2016-04-06 09:56:45.98,2013-02-21
63,FARMACIA THALER,826,"VIA DANTE, 3",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.farmaciathaler.it,45.88942,11.04034,200,Farmacie,,AE-3abde,AE-1abc,AE-3cf,,,,,,,,,,,,2016-04-06 09:52:11.828,2013-02-21
64,FERRARIO ARTE E ANTIQUARIATO SAS,891,"VIA RIALTO, 40",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.ferrarioarte.com,45.8894554,11.0445789,200,Gallerie arte,,AE-3cf,AE-3abde,AE-2c,,,,,,,,,,,,2016-04-06 09:33:19.483,2012-08-07
65,FIOR DI ZUCCA,843,PIAZZA DAMIANO CHIESA,38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8861693,11.0188214,200,Rosticcerie,,AE-3cf,AE-3abde,AE-1abc,AE-2d,AE-2a,,,,,,,,,,2011-06-07 14:04:51,2010-12-13
66,FONDAZIONE CASSA DI RISPARMIO DI TRENTO E ROVERETO,892,"PIAZZA ROSMINI, 5",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,www.fondazionecaritro.it,45.890842,11.0436329,200,Centri e sale culturali,,AI-5fb,AI-5fa,AI-5f,AE-3cf,AE-3abde,,,,,,,,,,2013-03-05 14:59:55.07,2013-03-05
67,GELATERIA MARCO,836,"CORSO BETTINI, 6",38068,Rovereto,TN,Comunita' Della Vallagarina,Italia,,45.8949733,11.0435503,200,Gelaterie,,AE-3cf,AE-3abde,AE-1abc,,,,,,,,,,,,2011-06-07 09:23:32,2010-09-29
