,Unnamed: 0,Unnamed: 0.1,city,country,housenumber,postcode,street,region,osm_ID,has_latitude,has_longitude,has_province,has_administrativeArea
185,185,185,,it,,,,Trentino-Alto Adige,8198607089,45.89600372314453,11.030356407165527,TN,22205
186,186,186,,it,,,,Trentino-Alto Adige,8465511916,45.89547348022461,11.087693214416504,TN,22205
187,187,187,,it,,,,Trentino-Alto Adige,8689591655,45.90973663330078,11.054281234741213,TN,22205
188,188,188,,it,,,,Trentino-Alto Adige,8689591656,45.90797805786133,11.052316665649414,TN,22205
189,189,189,,it,,,,Trentino-Alto Adige,8806252786,45.90397644042969,11.03860092163086,TN,22205
190,190,190,,it,,,,Trentino-Alto Adige,8806260190,45.904056549072266,11.038284301757812,TN,22205
191,191,191,Rovereto,it,43,38068.0,Corso Bettini,Trentino-Alto Adige,8867627558,45.89414596557617,11.043793678283691,TN,22161
192,192,192,,it,,,,Trentino-Alto Adige,8948896194,45.87702560424805,11.017799377441406,TN,22205
193,193,193,Rovereto,it,,38068.0,,Trentino-Alto Adige,9172000532,45.877960205078125,11.086078643798828,TN,22161
194,194,194,,it,2,38068.0,Via Valbusa Grande,Trentino-Alto Adige,9178364617,45.88949203491211,11.04482364654541,TN,22205
195,195,195,Rovereto,it,7/A,38068.0,Via delle Zigherane,Trentino-Alto Adige,557813326,45.88053998811196,11.022060015714745,TN,22161
196,196,196,Rovereto,it,61,38068.0,Corso Antonio Rosmini,Trentino-Alto Adige,676890164,45.89102998184555,11.038249996974258,TN,22161
197,197,197,Rovereto,it,28,38068.0,Via Silvio Pellico,Trentino-Alto Adige,283549419,45.90573066917486,11.042396096085165,TN,22161
198,198,198,Rovereto,it,22,38068.0,Via Giacomo Puccini,Trentino-Alto Adige,533257964,45.904430004723565,11.044220007510944,TN,22161
199,199,199,Rovereto,it,4,38068.0,Via del Teatro,Trentino-Alto Adige,775868814,45.893250012720586,11.041850024388111,TN,22161
200,200,200,Rovereto,it,175,38068.0,Via Del Garda,Trentino-Alto Adige,994167094,45.86951398485317,11.015513858306276,TN,22161
201,201,201,Rovereto,it,40,38068.0,Strada degli Artiglieri,Trentino-Alto Adige,1093955488,45.86190999292859,11.039499990194798,TN,22161
202,202,202,Rovereto,it,86,38068.0,Corso Bettini,Trentino-Alto Adige,1564305845,45.89589001885423,11.043200013713545,TN,22161
203,203,203,Rovereto,it,71,38068.0,Corso Bettini,Trentino-Alto Adige,1572407331,45.89686998906399,11.043330017031792,TN,22161
204,204,204,,it,,,,Trentino-Alto Adige,247887464,46.07182693481445,11.14046859741211,TN,22205
205,205,205,Trento,it,2,,Via del Lavaron,Trentino-Alto Adige,259973562,46.10961151123047,11.140262603759766,TN,22205
206,206,206,,it,,,,Trentino-Alto Adige,265581228,46.0457878112793,11.133090019226074,TN,22205
